from,to,weight,geometry
6402007963,12777683020,33.25451839790407,"LINESTRING (112.7958437 -7.2850766, 112.7961435 -7.285108299999999)"
6402007963,12777683271,17.685137778602744,"LINESTRING (112.7958437 -7.2850766, 112.7958557 -7.284917999999998)"
6402007963,12777683273,16.82229465300227,"LINESTRING (112.7958437 -7.2850766, 112.7956918 -7.285062999999999)"
6402007964,5560718900,178.91444003017378,"LINESTRING (112.7978741 -7.2836559, 112.79761 -7.2836662, 112.7975817 -7.2836539, 112.7975737 -7.2836333, 112.7975777 -7.2834258, 112.7975589 -7.2833739, 112.7975153 -7.2833473, 112.7973819 -7.2833326, 112.7973234 -7.2833335, 112.7972598 -7.2833553, 112.7971891 -7.2834101, 112.7971646 -7.283459, 112.7971566 -7.2835362, 112.797196 -7.2840362)"
6402007964,12777683172,26.881055810875754,"LINESTRING (112.7978741 -7.2836559, 112.7977511 -7.2834472)"
6402007968,6618422367,24.555446861288722,"LINESTRING (112.79147 -7.2783189, 112.7914623 -7.2785396)"
6402007968,2110228016,69.1508020510201,"LINESTRING (112.79147 -7.2783189, 112.7914805 -7.2776971)"
6402007968,9189251349,12.287524186066298,"LINESTRING (112.79147 -7.2783189, 112.7913838 -7.2783889)"
6402007970,9189251349,121.08860253290523,"LINESTRING (112.7913752 -7.2773022, 112.7913657 -7.2783174, 112.7913714 -7.2783424, 112.7913838 -7.2783889)"
6402007970,2110228012,32.53793811745441,"LINESTRING (112.7913752 -7.2773022, 112.7914647 -7.2773637, 112.791483 -7.2773975, 112.7914864 -7.2774341, 112.7914817 -7.2775435)"
6402007970,6402008113,16.78399848467952,"LINESTRING (112.7913752 -7.2773022, 112.7912833 -7.2772404, 112.7912422 -7.2772386)"
6402007970,12777682911,48.559346625647166,"LINESTRING (112.7913752 -7.2773022, 112.7916279 -7.276944600000001)"
6402007971,7645356108,25.52607968814413,"LINESTRING (112.7932325 -7.2868406, 112.7932808 -7.2866836, 112.7933066 -7.2866234)"
6402007971,12777683027,24.592722618238078,"LINESTRING (112.7932325 -7.2868406, 112.7930354 -7.286737199999998)"
6402007973,7645356108,32.0052986339947,"LINESTRING (112.7934163 -7.2863742, 112.7933639 -7.2865719, 112.7933559 -7.2865932, 112.7933398 -7.2866144, 112.7933066 -7.2866234)"
